x-axis SCL1 SDA1
second Volt Volt
+39.27000E-06 +21.39824629E-03 -2.09999992E-03
+39.28500E-06 -110.46105621E-03 +794.47241E-06
+39.30000E-06 -44.53140497E-03 -2.09999993E-03
+39.31500E-06 +21.39824629E-03 +794.47241E-06
+39.33000E-06 -110.46105625E-03 -170.35170E-06
+39.34500E-06 +87.32789757E-03 +794.47241E-06
+39.36000E-06 -176.39070749E-03 -1.13517582E-03
+39.37500E-06 +153.25754879E-03 -1.13517581E-03
+39.39000E-06 -242.32035873E-03 +794.47241E-06
+39.40500E-06 +87.32789753E-03 -1.13517582E-03
+39.42000E-06 -110.46105623E-03 -170.35170E-06
+39.43500E-06 +87.32789753E-03 -1.13517582E-03
+39.45000E-06 -110.46105621E-03 +794.47241E-06
+39.46500E-06 -44.53140499E-03 -3.06482404E-03
+39.48000E-06 +87.32789755E-03 +794.47241E-06
+39.49500E-06 -176.39070751E-03 -2.09999992E-03
+39.51000E-06 +153.25754881E-03 -170.35170E-06
+39.52500E-06 -176.39070749E-03 -1.13517581E-03
+39.54000E-06 +87.32789755E-03 -1.13517581E-03
+39.55500E-06 -242.32035875E-03 -170.35170E-06
+39.57000E-06 +87.32789755E-03 -1.13517582E-03
+39.58500E-06 -176.39070747E-03 +794.47241E-06
+39.60000E-06 +21.39824629E-03 -2.09999993E-03
+39.61500E-06 -44.53140497E-03 -170.35170E-06
+39.63000E-06 -110.46105623E-03 -3.06482404E-03
+39.64500E-06 +21.39824631E-03 -170.35170E-06
+39.66000E-06 -176.39070749E-03 -2.09999992E-03
+39.67500E-06 +153.25754881E-03 -170.35170E-06
+39.69000E-06 -242.32035875E-03 -1.13517581E-03
+39.70500E-06 +87.32789757E-03 -1.13517581E-03
+39.72000E-06 -242.32035873E-03 -1.13517581E-03
+39.73500E-06 +153.25754879E-03 -4.02964814E-03
+39.75000E-06 -110.46105626E-03 -170.35170E-06
+39.76500E-06 -44.53140497E-03 -2.09999993E-03
+39.78000E-06 +21.39824627E-03 +794.47241E-06
+39.79500E-06 -110.46105623E-03 -2.09999993E-03
+39.81000E-06 +87.32789755E-03 +794.47241E-06
+39.82500E-06 -242.32035875E-03 -2.09999992E-03
+39.84000E-06 +153.25754881E-03 -170.35170E-06
+39.85500E-06 -242.32035878E-03 -2.09999992E-03
+39.87000E-06 +153.25754881E-03 -1.13517582E-03
+39.88500E-06 -308.25000997E-03 +794.47241E-06
+39.90000E-06 +87.32789755E-03 -2.09999993E-03
+39.91500E-06 -176.39070747E-03 +1.75929652E-03
+39.93000E-06 +21.39824626E-03 -2.09999993E-03
+39.94500E-06 -44.53140492E-03 +794.47241E-06
+39.96000E-06 -110.46105626E-03 -2.09999993E-03
+39.97500E-06 +153.25754881E-03 -170.35170E-06
+39.99000E-06 -242.32035875E-03 -1.13517581E-03
+40.00500E-06 +153.25754883E-03 -170.35170E-06
+40.02000E-06 -308.25001001E-03 -1.13517581E-03
+40.03500E-06 +153.25754881E-03 -2.09999993E-03
+40.05000E-06 -242.32035878E-03 -170.35170E-06
+40.06500E-06 +21.39824631E-03 -2.09999993E-03
+40.08000E-06 -110.46105623E-03 +1.75929652E-03
+40.09500E-06 -44.53140497E-03 -3.06482404E-03
